network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,UT01,Logan,A,1983-12-06,,Cache,UT,41.6661,-111.8914,1370,Utah,S
NTN,UT09,"Canyonlands National Park-Island in the Sky",A,1997-11-11,,"San Juan",UT,38.4584,-109.8210,1797,Utah,I
NTN,UT95,"East McKee",A,2017-12-05,,Daggett,UT,40.7543,-109.4671,2569,Utah," "
NTN,UT98,"Green River",A,1985-04-25,,Emery,UT,39.0001,-110.1740,1256,Utah,I
NTN,UT99,"Bryce Canyon National Park-Repeater Hill",A,1985-01-29,,Garfield,UT,37.6186,-112.1728,2477,Utah,I
NTN,VA00,Charlottesville,A,1984-10-02,,Albemarle,VA,38.0402,-78.5427,172,Virginia,S
NTN,VA13,"Blue Grass Trail",A,1978-07-25,,Giles,VA,37.3232,-80.4572,652,Virginia,R
NTN,VA24,"Prince Edward",A,1999-01-26,,"Prince Edward",VA,37.1652,-78.3073,150,Virginia,R
NTN,VA28,"Shenandoah National Park-Big Meadows",A,1981-05-12,,Madison,VA,38.5231,-78.4348,1072,Virginia,R
NTN,VA99,"Natural Bridge Station",A,2002-07-02,,Rockbridge,VA,37.6265,-79.5126,282,Virginia,R
NTN,VI01,"Virgin Islands National Park-Lind Point",A,1998-04-14,,"St. John",VI,18.3362,-64.7962,56,"Virgin Islands"," "
NTN,VT01,Bennington,A,1981-04-28,,Bennington,VT,42.8761,-73.1633,305,Vermont,R
NTN,VT99,Underhill,A,1984-06-12,,Chittenden,VT,44.5283,-72.8684,399,Vermont,R
NTN,WA04,"Confederated Tribes of the Umatilla Indian Reservation",A,2022-12-27,,Columbia,WA,46.2026,-117.9539,,Washington," "
NTN,WA14,"Olympic National Park-Hoh Ranger Station",A,1980-05-20,,Jefferson,WA,47.8597,-123.9325,182,Washington,I
NTN,WA19,"North Cascades National Park-Marblemount Ranger Station",A,1984-02-07,,Skagit,WA,48.5403,-121.4460,124,Washington,I
